Station,Date_parsed,Muntiacus_present,EVI_Silwood,distance_to_road
97,19/11/2025,0,0.225648577,33.2697
97,20/11/2025,0,0.225648577,33.2697
97,21/11/2025,0,0.225648577,33.2697
97,22/11/2025,0,0.225648577,33.2697
97,23/11/2025,0,0.225648577,33.2697
97,24/11/2025,0,0.225648577,33.2697
108,08/10/2025,0,0.658102235,26.0437
108,09/10/2025,0,0.658102235,26.0437
108,10/10/2025,0,0.658102235,26.0437
108,11/10/2025,1,0.658102235,26.0437
108,12/10/2025,0,0.658102235,26.0437
108,13/10/2025,1,0.658102235,26.0437
108,14/10/2025,1,0.658102235,26.0437
108,15/10/2025,1,0.658102235,26.0437
108,16/10/2025,0,0.658102235,26.0437
108,17/10/2025,0,0.658102235,26.0437
108,18/10/2025,1,0.658102235,26.0437
108,19/10/2025,1,0.658102235,26.0437
108,20/10/2025,0,0.658102235,26.0437
108,21/10/2025,0,0.658102235,26.0437
108,22/10/2025,1,0.658102235,26.0437
108,23/10/2025,0,0.658102235,26.0437
108,24/10/2025,1,0.658102235,26.0437
108,25/10/2025,1,0.658102235,26.0437
108,26/10/2025,1,0.658102235,26.0437
108,27/10/2025,0,0.658102235,26.0437
108,28/10/2025,1,0.658102235,26.0437
108,29/10/2025,0,0.658102235,26.0437
108,30/10/2025,1,0.658102235,26.0437
108,31/10/2025,1,0.658102235,26.0437
108,01/11/2025,1,0.658102235,26.0437
108,02/11/2025,1,0.658102235,26.0437
108,03/11/2025,1,0.658102235,26.0437
108,04/11/2025,1,0.658102235,26.0437
108,05/11/2025,1,0.658102235,26.0437
108,06/11/2025,1,0.658102235,26.0437
108,07/11/2025,1,0.658102235,26.0437
108,08/11/2025,1,0.658102235,26.0437
108,09/11/2025,1,0.658102235,26.0437
108,10/11/2025,1,0.658102235,26.0437
108,11/11/2025,0,0.658102235,26.0437
108,12/11/2025,0,0.658102235,26.0437
108,13/11/2025,0,0.658102235,26.0437
108,14/11/2025,0,0.658102235,26.0437
108,15/11/2025,0,0.658102235,26.0437
108,16/11/2025,0,0.658102235,26.0437
108,17/11/2025,0,0.658102235,26.0437
108,18/11/2025,0,0.658102235,26.0437
108,19/11/2025,1,0.658102235,26.0437
108,20/11/2025,1,0.658102235,26.0437
108,21/11/2025,1,0.658102235,26.0437
108,22/11/2025,1,0.658102235,26.0437
108,23/11/2025,1,0.658102235,26.0437
108,24/11/2025,1,0.658102235,26.0437
